,nodeA,nodeB,weight
1646,Newborn,Paul Begala,1
1647,Begala,Lukis Newborn,1
1648,Begala,Newborn,1
1649,Lukis Newborn,Newborn,1
1650,David Yancey,Sharon Bernstein,2
1651,David Yancey,David Yancey,1
1652,David Toscano,David Yancey,2
1653,David Yancey,John Whitbeck,2
1654,David Yancey,Ralph Northam,2
1655,David Yancey,Doug Jones,2
1656,David Yancey,Roy Moore,2
1657,David Yancey,Jeff Sessions,2
1658,David Yancey,Trump,2
1659,Sharon Bernstein,Shelly Simonds,1
1660,David Toscano,Sharon Bernstein,1
1661,Sharon Bernstein,Simonds,3
1662,Sharon Bernstein,Yancey,2
1663,John Whitbeck,Sharon Bernstein,1
1664,Ralph Northam,Sharon Bernstein,1
1665,Donald Trump,Sharon Bernstein,1
1666,Doug Jones,Sharon Bernstein,1
1667,Roy Moore,Sharon Bernstein,1
1668,Jeff Sessions,Sharon Bernstein,1
1669,Sharon Bernstein,Trump,1
1670,David Toscano,Shelly Simonds,1
1671,John Whitbeck,Shelly Simonds,1
1672,Ralph Northam,Shelly Simonds,1
1673,Doug Jones,Shelly Simonds,1
1674,Roy Moore,Shelly Simonds,1
1675,Jeff Sessions,Shelly Simonds,1
1676,Shelly Simonds,Trump,1
1677,David Toscano,Simonds,3
1678,David Toscano,Yancey,2
1679,David Toscano,John Whitbeck,1
1680,David Toscano,Ralph Northam,1
1681,David Toscano,Donald Trump,1
1682,David Toscano,Doug Jones,1
1683,David Toscano,Roy Moore,1
1684,David Toscano,Jeff Sessions,1
1685,David Toscano,Trump,1
1686,John Whitbeck,Simonds,3
1687,Ralph Northam,Simonds,3
1688,Doug Jones,Simonds,3
1689,Roy Moore,Simonds,3
1690,Jeff Sessions,Simonds,3
1691,Simonds,Trump,3
1692,John Whitbeck,Yancey,2
1693,Ralph Northam,Yancey,2
1694,Doug Jones,Yancey,2
1695,Roy Moore,Yancey,2
1696,Jeff Sessions,Yancey,2
1697,Trump,Yancey,2
1698,John Whitbeck,Ralph Northam,1
1699,Donald Trump,John Whitbeck,1
1700,Doug Jones,John Whitbeck,1
1701,John Whitbeck,Roy Moore,1
1702,Jeff Sessions,John Whitbeck,1
1703,John Whitbeck,Trump,1
1704,Ralph Northam,Roy Moore,2
1705,Jeff Sessions,Ralph Northam,1
1706,Roy Moore,Trump,45
1707,Jeff Sessions,Trump,30
1708,Andrew McCabe,Hillary Clinton,2
1709,Andrew McCabe,Robert Mueller,2
1710,Andrew McCabe,Clinton,9
1711,Andrew McCabe,James Comey,2
1712,Andrew McCabe,Donald Trump,2
1713,Andrew McCabe,Comey,1
1714,Andrew McCabe,Mueller,6
1715,Andrew McCabe,anti-Trump,1
1716,Andrew McCabe,Peter Strzok,2
1717,Andrew McCabe,Lisa Page,2
1718,Andrew McCabe,Page,1
1719,Hillary Clinton,James Comey,12
1720,Comey,Hillary Clinton,11
1721,Hillary Clinton,anti-Trump,2
1722,Hillary Clinton,Peter Strzok,9
1723,Hillary Clinton,Lisa Page,6
1724,Hillary Clinton,Page,5
1725,Comey,Robert Mueller,20
1726,Robert Mueller,anti-Trump,2
1727,Peter Strzok,Robert Mueller,8
1728,Lisa Page,Robert Mueller,6
1729,Page,Robert Mueller,5
1730,Clinton,James Comey,28
1731,Clinton,Clinton,139
1732,Clinton,Comey,22
1733,Clinton,anti-Trump,4
1734,Clinton,Peter Strzok,30
1735,Clinton,Lisa Page,18
1736,Clinton,Page,10
1737,Comey,James Comey,24
1738,James Comey,anti-Trump,1
1739,James Comey,Peter Strzok,5
1740,James Comey,Lisa Page,2
1741,James Comey,Page,1
1742,Comey,Donald Trump,24
1743,Donald Trump,anti-Trump,2
1744,Donald Trump,Peter Strzok,13
1745,Donald Trump,Lisa Page,9
1746,Donald Trump,Page,7
1747,Comey,Mueller,20
1748,Comey,anti-Trump,1
1749,Comey,Peter Strzok,1
1750,Comey,Lisa Page,1
1751,Comey,Page,1
1752,Mueller,anti-Trump,4
1753,Mueller,Peter Strzok,23
1754,Lisa Page,Mueller,15
1755,Mueller,Page,6
1756,Peter Strzok,anti-Trump,2
1757,Lisa Page,anti-Trump,2
1758,Page,anti-Trump,1
1759,Lisa Page,Peter Strzok,8
1760,Page,Peter Strzok,1
1761,Lisa Page,Page,1
1762,Donald Trump,Jack Reed,3
1763,Donald Trump,Steven Rosenthal,3
1764,Daniel Shaviro,Donald Trump,1
1765,Jack Reed,Paul Ryan,1
1766,Jack Reed,Steven Rosenthal,1
1767,Daniel Shaviro,Jack Reed,1
1768,Paul Ryan,Steven Rosenthal,1
1769,Daniel Shaviro,Paul Ryan,1
1770,Daniel Shaviro,Steven Rosenthal,1
1771,Donald Trump,Robert Brusca,1
1772,Donald Trump,Ralph McLaughlin,1
1773,Donald Trump,Lindsey Piegza,1
1774,David Berson,Donald Trump,1
1775,Mitch McConnell,Robert Brusca,1
1776,Mitch McConnell,Ralph McLaughlin,1
1777,Lindsey Piegza,Mitch McConnell,1
1778,David Berson,Mitch McConnell,1
1779,Ralph McLaughlin,Robert Brusca,1
1780,Lindsey Piegza,Robert Brusca,1
1781,David Berson,Robert Brusca,1
1782,Lindsey Piegza,Ralph McLaughlin,1
1783,David Berson,Ralph McLaughlin,1
1784,David Berson,Lindsey Piegza,1
1785,Chris Schott,NEW YORK,1
1786,NEW YORK,Saul Martinez,1
1787,Banks,NEW YORK,1
1788,Ed Yardeni,NEW YORK,1
1789,Chris Schott,Donald Trump,1
1790,Donald Trump,Saul Martinez,1
1791,Banks,Donald Trump,1
1792,Donald Trump,Ed Yardeni,1
1793,Chris Schott,Saul Martinez,1
1794,Banks,Chris Schott,1
1795,Chris Schott,Ed Yardeni,1
1796,Banks,Saul Martinez,1
1797,Ed Yardeni,Saul Martinez,1
1798,Banks,Ed Yardeni,1
1799,Donald Trump,Neil Gorsuch,7
1800,Carolyn Shapiro,Neil Gorsuch,1
1801,Antonin Scalia,Neil Gorsuch,2
1802,Coloradoan,Neil Gorsuch,1
1803,John Malcolm,Neil Gorsuch,2
1804,Neil Gorsuch,Trump,4
1805,Carolyn Shapiro,Donald Trump,1
1806,Antonin Scalia,Donald Trump,2
1807,Coloradoan,Donald Trump,1
1808,Donald Trump,John Malcolm,2
1809,Antonin Scalia,Carolyn Shapiro,1
1810,Carolyn Shapiro,Coloradoan,1
1811,Carolyn Shapiro,John Malcolm,1
1812,Carolyn Shapiro,Trump,1
1813,Antonin Scalia,Coloradoan,1
1814,Antonin Scalia,John Malcolm,1
1815,Antonin Scalia,Trump,4
1816,Coloradoan,John Malcolm,1
1817,Coloradoan,Trump,1
1818,John Malcolm,Trump,1
1819,Hillary Clinton,Jeff Sessions,8
1820,Hillary Clinton,Jim Rybicki,1
1821,Bob Goodlatte,Hillary Clinton,5
1822,Hillary Clinton,Representative Trey Gowdy,1
1823,Clinton,Jeff Sessions,12
1824,Clinton,Rod Rosenstein,14
1825,Clinton,Jim Rybicki,5
1826,Bob Goodlatte,Clinton,15
1827,Clinton,Representative Trey Gowdy,5
1828,Jeff Sessions,Rod Rosenstein,5
1829,Andrew McCabe,Jeff Sessions,1
1830,Jeff Sessions,Jim Rybicki,1
1831,Jeff Sessions,Lisa Page,2
1832,Jeff Sessions,Peter Strzok,2
1833,Jeff Sessions,Robert Mueller,19
1834,Jeff Sessions,Mueller,12
1835,Bob Goodlatte,Jeff Sessions,1
1836,Jeff Sessions,Representative Trey Gowdy,1
1837,James Comey,Jeff Sessions,1
1838,Andrew McCabe,Rod Rosenstein,2
1839,Jim Rybicki,Rod Rosenstein,2
1840,Lisa Page,Rod Rosenstein,4
1841,Peter Strzok,Rod Rosenstein,4
1842,Rod Rosenstein,Rod Rosenstein,1
1843,Bob Goodlatte,Rod Rosenstein,4
1844,Representative Trey Gowdy,Rod Rosenstein,2
1845,Andrew McCabe,Jim Rybicki,1
1846,Andrew McCabe,Bob Goodlatte,1
1847,Andrew McCabe,Representative Trey Gowdy,1
1848,Jim Rybicki,Lisa Page,1
1849,Jim Rybicki,Peter Strzok,1
1850,Donald Trump,Jim Rybicki,1
1851,Jim Rybicki,Robert Mueller,1
1852,Jim Rybicki,Mueller,3
1853,Bob Goodlatte,Jim Rybicki,1
1854,Jim Rybicki,Representative Trey Gowdy,1
1855,James Comey,Jim Rybicki,1
1856,Bob Goodlatte,Lisa Page,2
1857,Lisa Page,Representative Trey Gowdy,1
1858,Bob Goodlatte,Peter Strzok,3
1859,Peter Strzok,Representative Trey Gowdy,1
1860,Bob Goodlatte,Donald Trump,8
1861,Donald Trump,Representative Trey Gowdy,2
1862,Bob Goodlatte,Robert Mueller,5
1863,Representative Trey Gowdy,Robert Mueller,2
1864,Bob Goodlatte,Mueller,15
1865,Mueller,Representative Trey Gowdy,3
1866,Bob Goodlatte,Representative Trey Gowdy,1
1867,Bob Goodlatte,James Comey,4
1868,James Comey,Representative Trey Gowdy,1
1869,Donald Trump,Scott Reed,1
1870,Donald Trump,Kirsten,3
1871,David Axelrod,Donald Trump,1
1872,Donald Trump,Karl Rove,1
1873,Bill Stepien,Donald Trump,1
1874,Donald Trump,Reince Priebus,4
1875,Donald Trump,Ford O’Connell,1
1876,Donald Trump,O’Connell,1
1877,Kirsten,Scott Reed,1
1878,Scott Reed,Trump,1
1879,Barack Obama,Scott Reed,1
1880,David Axelrod,Scott Reed,1
1881,George W. Bush,Scott Reed,1
1882,Karl Rove,Scott Reed,1
1883,Bill Stepien,Scott Reed,1
1884,Reince Priebus,Scott Reed,1
1885,Scott Reed,Steve Bannon,1
1886,Bill Clinton,Scott Reed,1
1887,Ford O’Connell,Scott Reed,1
1888,O’Connell,Scott Reed,1
1889,Kirsten,Trump,1
1890,Barack Obama,Kirsten,1
1891,David Axelrod,Kirsten,1
1892,George W. Bush,Kirsten,1
1893,Karl Rove,Kirsten,1
1894,Bill Stepien,Kirsten,1
1895,Kirsten,Reince Priebus,1
1896,Kirsten,Steve Bannon,1
1897,Bill Clinton,Kirsten,1
1898,Ford O’Connell,Kirsten,1
1899,Kirsten,O’Connell,1
1900,David Axelrod,Trump,1
1901,Karl Rove,Trump,1
1902,Bill Stepien,Trump,1
1903,Reince Priebus,Trump,2
1904,Steve Bannon,Trump,9
1905,Ford O’Connell,Trump,1
1906,O’Connell,Trump,1
1907,Barack Obama,David Axelrod,1
1908,Barack Obama,Karl Rove,1
1909,Barack Obama,Bill Stepien,1
1910,Barack Obama,Reince Priebus,1
1911,Barack Obama,Steve Bannon,3
1912,Barack Obama,Bill Clinton,6
1913,Barack Obama,Ford O’Connell,1
1914,Barack Obama,O’Connell,1
1915,David Axelrod,George W. Bush,1
1916,David Axelrod,Karl Rove,1
1917,Bill Stepien,David Axelrod,1
1918,David Axelrod,Reince Priebus,1
1919,David Axelrod,Steve Bannon,1
1920,Bill Clinton,David Axelrod,1
1921,David Axelrod,Ford O’Connell,1
1922,David Axelrod,O’Connell,1
1923,George W. Bush,Karl Rove,1
1924,Bill Stepien,George W. Bush,1
1925,George W. Bush,Reince Priebus,1
1926,George W. Bush,Steve Bannon,1
1927,Bill Clinton,George W. Bush,4
1928,Ford O’Connell,George W. Bush,1
1929,George W. Bush,O’Connell,1
1930,Bill Stepien,Karl Rove,1
1931,Karl Rove,Reince Priebus,1
1932,Karl Rove,Steve Bannon,1
1933,Bill Clinton,Karl Rove,1
1934,Ford O’Connell,Karl Rove,1
1935,Karl Rove,O’Connell,1
1936,Bill Stepien,Reince Priebus,1
1937,Bill Stepien,Steve Bannon,1
1938,Bill Clinton,Bill Stepien,1
1939,Bill Stepien,Ford O’Connell,1
1940,Bill Stepien,O’Connell,1
1941,Reince Priebus,Steve Bannon,1
1942,Bill Clinton,Reince Priebus,1
1943,Ford O’Connell,Reince Priebus,1
1944,O’Connell,Reince Priebus,1
1945,Bill Clinton,Steve Bannon,1
1946,Ford O’Connell,Steve Bannon,1
1947,O’Connell,Steve Bannon,1
1948,Bill Clinton,Ford O’Connell,1
1949,Bill Clinton,O’Connell,1
1950,Ford O’Connell,O’Connell,1
1951,Chris Collins,Donald Trump,2
1952,Donald Trump,Susan Collins,28
1953,Donald Trump,Mark Walker,2
1954,Chris Collins,Mitch McConnell,1
1955,Chris Collins,Susan Collins,1
1956,Chris Collins,McConnell,1
1957,Chris Collins,Mark Walker,1
1958,Mitch McConnell,Susan Collins,10
1959,Mark Walker,Mitch McConnell,1
1960,McConnell,Susan Collins,12
1961,Mark Walker,Susan Collins,1
1962,Mark Walker,McConnell,1
1963,Donald Trump,Scott Garrett,1
1964,Donald Trump,Garrett,2
1965,Donald Trump,Mike Rounds,3
1966,Donald Trump,Tim Scott,3
1967,Donald Trump,Kimberly Reed,1
1968,Donald Trump,Spencer Bachus,1
1969,Claudia Slacik,Donald Trump,1
1970,Donald Trump,Judith DelZoppo Pryor,1
1971,Donald Trump,Mark Greenblatt,1
1972,Donald Trump,Scott Schloegel,1
1973,Donald Trump,Schloegel,1
1974,Garrett,Scott Garrett,2
1975,Mike Rounds,Scott Garrett,1
1976,Scott Garrett,Tim Scott,1
1977,Marc Short,Scott Garrett,1
1978,Kimberly Reed,Scott Garrett,1
1979,Scott Garrett,Spencer Bachus,1
1980,Claudia Slacik,Scott Garrett,1
1981,Judith DelZoppo Pryor,Scott Garrett,1
1982,Mark Greenblatt,Scott Garrett,1
1983,Scott Garrett,Scott Schloegel,1
1984,Schloegel,Scott Garrett,1
1985,Garrett,Mike Rounds,2
1986,Garrett,Garrett,1
1987,Garrett,Tim Scott,2
1988,Garrett,Marc Short,2
1989,Garrett,Kimberly Reed,2
1990,Garrett,Spencer Bachus,2
1991,Claudia Slacik,Garrett,2
1992,Garrett,Judith DelZoppo Pryor,2
1993,Garrett,Mark Greenblatt,2
1994,Garrett,Scott Schloegel,2
1995,Garrett,Schloegel,2
1996,Mike Rounds,Tim Scott,1
1997,Marc Short,Mike Rounds,3
1998,Kimberly Reed,Mike Rounds,1
1999,Mike Rounds,Spencer Bachus,1
2000,Claudia Slacik,Mike Rounds,1
2001,Judith DelZoppo Pryor,Mike Rounds,1
2002,Mark Greenblatt,Mike Rounds,1
2003,Mike Rounds,Scott Schloegel,1
2004,Mike Rounds,Schloegel,1
2005,Marc Short,Tim Scott,1
2006,Kimberly Reed,Tim Scott,1
2007,Spencer Bachus,Tim Scott,1
2008,Claudia Slacik,Tim Scott,1
2009,Judith DelZoppo Pryor,Tim Scott,1
2010,Mark Greenblatt,Tim Scott,1
2011,Scott Schloegel,Tim Scott,1
2012,Schloegel,Tim Scott,1
2013,Kimberly Reed,Marc Short,1
2014,Marc Short,Spencer Bachus,1
2015,Claudia Slacik,Marc Short,1
2016,Judith DelZoppo Pryor,Marc Short,1
2017,Marc Short,Mark Greenblatt,1
2018,Marc Short,Scott Schloegel,1
2019,Marc Short,Schloegel,1
2020,Kimberly Reed,Spencer Bachus,1
2021,Claudia Slacik,Kimberly Reed,1
2022,Judith DelZoppo Pryor,Kimberly Reed,1
2023,Kimberly Reed,Mark Greenblatt,1
2024,Kimberly Reed,Scott Schloegel,1
2025,Kimberly Reed,Schloegel,1
2026,Claudia Slacik,Spencer Bachus,1
2027,Judith DelZoppo Pryor,Spencer Bachus,1
2028,Mark Greenblatt,Spencer Bachus,1
2029,Scott Schloegel,Spencer Bachus,1
2030,Schloegel,Spencer Bachus,1
2031,Claudia Slacik,Judith DelZoppo Pryor,1
2032,Claudia Slacik,Mark Greenblatt,1
2033,Claudia Slacik,Scott Schloegel,1
2034,Claudia Slacik,Schloegel,1
2035,Judith DelZoppo Pryor,Mark Greenblatt,1
2036,Judith DelZoppo Pryor,Scott Schloegel,1
2037,Judith DelZoppo Pryor,Schloegel,1
2038,Mark Greenblatt,Scott Schloegel,1
2039,Mark Greenblatt,Schloegel,1
2040,Schloegel,Scott Schloegel,1
2041,Concur,Kevin McCarthy,1
2042,Kevin McCarthy,Trump,2
2043,Kevin McCarthy,McCarthy,2
2044,Concur,Trump,1
2045,Concur,McCarthy,1
2046,McCarthy,Trump,1
2047,Donald Trump,JACK ABLIN,1
2048,Donald Trump,JIM PAULSEN,1
2049,Donald Trump,MINNEAPOLIS,1
2050,AARON KOHLI,Donald Trump,1
2051,BRIAN PEERY,Donald Trump,1
2052,ALICIA LEVINE,Donald Trump,1
2053,CHUCK CARLSON,Donald Trump,1
2054,Donald Trump,HAMMOND,1
2055,JACK ABLIN,JIM PAULSEN,1
2056,JACK ABLIN,MINNEAPOLIS,1
2057,AARON KOHLI,JACK ABLIN,1
2058,BRIAN PEERY,JACK ABLIN,1
2059,ALICIA LEVINE,JACK ABLIN,1
2060,CHUCK CARLSON,JACK ABLIN,1
2061,HAMMOND,JACK ABLIN,1
2062,JIM PAULSEN,MINNEAPOLIS,1
2063,AARON KOHLI,JIM PAULSEN,1
2064,BRIAN PEERY,JIM PAULSEN,1
2065,ALICIA LEVINE,JIM PAULSEN,1
2066,CHUCK CARLSON,JIM PAULSEN,1
2067,HAMMOND,JIM PAULSEN,1
2068,AARON KOHLI,MINNEAPOLIS,1
2069,BRIAN PEERY,MINNEAPOLIS,1
2070,ALICIA LEVINE,MINNEAPOLIS,1
2071,CHUCK CARLSON,MINNEAPOLIS,1
2072,HAMMOND,MINNEAPOLIS,1
2073,AARON KOHLI,BRIAN PEERY,1
2074,AARON KOHLI,ALICIA LEVINE,1
2075,AARON KOHLI,CHUCK CARLSON,1
2076,AARON KOHLI,HAMMOND,1
2077,ALICIA LEVINE,BRIAN PEERY,1
2078,BRIAN PEERY,CHUCK CARLSON,1
2079,BRIAN PEERY,HAMMOND,1
2080,ALICIA LEVINE,CHUCK CARLSON,1
2081,ALICIA LEVINE,HAMMOND,1
2082,CHUCK CARLSON,HAMMOND,1
2083,Gregg Harper,Harvey Weinstein,1
2084,Gregg Harper,Matt Lauer,1
2085,Gregg Harper,John Conyers,1
2086,Gregg Harper,Jackie Speier,1
2087,Gregg Harper,Susan Tsui Grundmann,1
2088,Harvey Weinstein,Jackie Speier,2
2089,Harvey Weinstein,Susan Tsui Grundmann,1
2090,Jackie Speier,Matt Lauer,1
2091,Matt Lauer,Susan Tsui Grundmann,1
2092,Jackie Speier,John Conyers,3
2093,John Conyers,Susan Tsui Grundmann,1
2094,Jackie Speier,Susan Tsui Grundmann,1
2095,Darin Schroeder,Trump,1
2096,Ryan Zinke,Trump,4
2097,Darin Schroeder,Ryan Zinke,1
2098,Darin Schroeder,Obama,1
2099,Obama,Ryan Zinke,3
2100,Alyssa Farah,Mike Pence,2
2101,Donald Trump,Mike Lee,9
2102,Collins,Donald Trump,3
2103,Donald Trump,Lee,12
2104,Donald Trump,John McCain,26
2105,Donald Trump,Thad Cochran,2
2106,Bob Corker,Donald Trump,30
2107,Mike Lee,Susan Collins,6
2108,Collins,Susan Collins,3
2109,Lee,Susan Collins,8
2110,John Cornyn,Susan Collins,5
2111,Mike Pence,Susan Collins,7
2112,Barack Obama,Susan Collins,11
2113,John McCain,Susan Collins,15
2114,Jeff Flake,Susan Collins,14
2115,Susan Collins,Thad Cochran,2
2116,Bob Corker,Susan Collins,15
2117,Collins,Mike Lee,1
2118,Lee,Mike Lee,12
2119,John Cornyn,Mike Lee,3
2120,Mike Lee,Mike Pence,3
2121,Barack Obama,Mike Lee,2
2122,John McCain,Mike Lee,7
2123,Jeff Flake,Mike Lee,5
2124,Mike Lee,Thad Cochran,2
2125,Bob Corker,Mike Lee,5
2126,Collins,Lee,2
2127,Collins,John Cornyn,2
2128,Collins,Mike Pence,2
2129,Barack Obama,Collins,1
2130,Collins,John McCain,1
2131,Collins,Jeff Flake,1
2132,Collins,Thad Cochran,1
2133,Bob Corker,Collins,2
2134,John Cornyn,Lee,2
2135,Lee,Mike Pence,8
2136,Barack Obama,Lee,2
2137,John McCain,Lee,8
2138,Lee,Lee,12
2139,Jeff Flake,Lee,4
2140,Lee,Thad Cochran,2
2141,Bob Corker,Lee,7
2142,John Cornyn,Mike Pence,1
2143,Barack Obama,John Cornyn,5
2144,John Cornyn,John McCain,4
2145,Jeff Flake,John Cornyn,2
2146,John Cornyn,Thad Cochran,2
2147,Bob Corker,John Cornyn,2
2148,Barack Obama,Mike Pence,6
2149,John McCain,Mike Pence,6
2150,Jeff Flake,Mike Pence,5
2151,Mike Pence,Thad Cochran,1
2152,Bob Corker,Mike Pence,7
2153,Barack Obama,John McCain,8
2154,Barack Obama,Thad Cochran,1
2155,Barack Obama,Bob Corker,6
2156,Jeff Flake,John McCain,9
2157,John McCain,Thad Cochran,2
2158,Bob Corker,John McCain,10
2159,Jeff Flake,Thad Cochran,2
2160,Bob Corker,Jeff Flake,12
2161,Bob Corker,Thad Cochran,2
2162,Donald Trump,Tanya Chutkan,1
2163,Donald Trump,Jane Roe,1
2164,Donald Trump,Jane Poe,1
2165,Tanya Chutkan,Trump,1
2166,Jane Roe,Tanya Chutkan,1
2167,Jane Poe,Tanya Chutkan,1
2168,Jane Roe,Trump,1
2169,Jane Poe,Trump,1
2170,Jane Poe,Jane Roe,1
2171,Donald Trump,Rodney Frelinghuysen,1
2172,Donald Trump,Frelinghuysen,1
2173,Frelinghuysen,Rodney Frelinghuysen,1
2174,Caren Harp,Donald Trump,1
2175,Donald Trump,bit.ly/2Bail99,1
2176,Moore,bit.ly/2Bail99,1
2177,Donald Trump,Kirstjen Nielsen,2
2178,Ben Carson,Donald Trump,2
2179,Donald Trump,Ricardo Rossello,2
2180,Donald Trump,Nielsen,5
2181,Carson,Donald Trump,1
2182,Ben Carson,Kirstjen Nielsen,1
2183,Kirstjen Nielsen,Ricardo Rossello,1
2184,Kirstjen Nielsen,Nielsen,11
2185,Carson,Kirstjen Nielsen,1
2186,Ben Carson,Ricardo Rossello,1
2187,Ben Carson,Nielsen,1
2188,Ben Carson,Carson,1
2189,Nielsen,Ricardo Rossello,1
2190,Carson,Ricardo Rossello,1
2191,Carson,Nielsen,1
2192,John Cornyn,Trump,8
2193,John Carter,John Cornyn,1
2194,Carter,John Cornyn,1
2195,Dick Durbin,John Cornyn,1
2196,John Cornyn,Lindsey Graham,3
2197,John Cornyn,Michelle Lujan Grisham,1
2198,Donald Trump,John Carter,1
2199,Carter,Donald Trump,1
2200,Donald Trump,Michelle Lujan Grisham,1
2201,John Carter,Trump,2
2202,Carter,Trump,2
2203,Michelle Lujan Grisham,Trump,2
2204,Barack Obama,John Carter,1
2205,Carter,John Carter,1
2206,Dick Durbin,John Carter,1
2207,John Carter,Lindsey Graham,1
2208,John Carter,Michelle Lujan Grisham,1
2209,Barack Obama,Carter,1
2210,Barack Obama,Michelle Lujan Grisham,1
2211,Carter,Dick Durbin,1
2212,Carter,Lindsey Graham,1
2213,Carter,Michelle Lujan Grisham,1
2214,Dick Durbin,Michelle Lujan Grisham,1
2215,Lindsey Graham,Michelle Lujan Grisham,1
2216,Elizabeth Warren,Mick Mulvaney,7
2217,Donald Trump,Elizabeth Warren,14
2218,Elizabeth Warren,Leandra English,7
2219,Elizabeth Warren,Mulvaney,6
2220,Elizabeth Warren,Warren,22
2221,Elizabeth Warren,Richard Cordray,8
2222,Leandra English,Mick Mulvaney,14
2223,Mick Mulvaney,Mulvaney,17
2224,Mick Mulvaney,Warren,10
2225,Mick Mulvaney,Richard Cordray,19
2226,Donald Trump,Leandra English,16
2227,Donald Trump,Mulvaney,23
2228,Donald Trump,Warren,21
2229,Donald Trump,Richard Cordray,22
2230,Leandra English,Mulvaney,19
2231,Leandra English,Warren,10
2232,Leandra English,Richard Cordray,14
2233,Mulvaney,Warren,12
2234,Mulvaney,Mulvaney,14
2235,Mulvaney,Richard Cordray,19
2236,Warren,Warren,37
2237,Richard Cordray,Warren,11
2238,Donald Trump,Kazianis,1
2239,Donald Trump,Xi Jinping,37
2240,Donald Trump,Xi,87
2241,Kazianis,Vladimir Putin,1
2242,Barack Obama,Vladimir Putin,3
2243,Vladimir Putin,Xi Jinping,4
2244,Vladimir Putin,Xi,10
2245,Putin,Putin,37
2246,Kazianis,Putin,3
2247,Barack Obama,Putin,5
2248,Putin,Xi Jinping,9
2249,Putin,Xi,3
2250,Hillary Clinton,Kazianis,1
2251,Hillary Clinton,Xi Jinping,1
2252,Hillary Clinton,Xi,1
2253,Barack Obama,Kazianis,1
2254,Kazianis,Trump,1
2255,Kazianis,Xi Jinping,1
2256,Kazianis,Xi,1
2257,Barack Obama,Xi Jinping,4
2258,Barack Obama,Xi,9
2259,Trump,Xi Jinping,43
2260,Trump,Xi,223
2261,Xi,Xi Jinping,76
2262,Scott Pruitt,Tom Carper,4
2263,Arthur Elkins,Scott Pruitt,1
2264,Pruitt,Scott Pruitt,1
2265,Elkins,Scott Pruitt,1
2266,Jahan Wilcox,Scott Pruitt,1
2267,Scott Pruitt,Wilcox,1
2268,Carper,Scott Pruitt,1
2269,Arthur Elkins,Tom Carper,1
2270,Pruitt,Tom Carper,1
2271,Elkins,Tom Carper,1
2272,Jahan Wilcox,Tom Carper,1
2273,Tom Carper,Wilcox,1
2274,Carper,Tom Carper,1
2275,Arthur Elkins,Pruitt,1
2276,Arthur Elkins,Elkins,1
2277,Arthur Elkins,Jahan Wilcox,1
2278,Arthur Elkins,Wilcox,1
2279,Arthur Elkins,Carper,1
2280,Elkins,Pruitt,1
2281,Jahan Wilcox,Pruitt,1
2282,Pruitt,Wilcox,1
2283,Carper,Pruitt,1
2284,Elkins,Jahan Wilcox,1
2285,Elkins,Wilcox,1
2286,Carper,Elkins,1
2287,Jahan Wilcox,Wilcox,1
2288,Carper,Jahan Wilcox,1
2289,Carper,Wilcox,1
2290,Donald Trump,Matthew Petersen,1
2291,Donald Trump,John Kennedy,6
2292,Donald Trump,Kennedy,13
2293,Donald Trump,Petersen,3
2294,Donald Trump,Jeff Mateer,3
2295,Brett Talley,Donald Trump,3
2296,Donald Trump,Talley,2
2297,John Kennedy,Matthew Petersen,1
2298,Kennedy,Matthew Petersen,1
2299,Matthew Petersen,Trump,2
2300,Matthew Petersen,Petersen,3
2301,Chuck Grassley,Matthew Petersen,1
2302,Jeff Mateer,Matthew Petersen,1
2303,Brett Talley,Matthew Petersen,1
2304,Matthew Petersen,Talley,1
2305,Matthew Petersen,Neil Gorsuch,1
2306,John Kennedy,Kennedy,4
2307,John Kennedy,Trump,4
2308,John Kennedy,Petersen,3
2309,Chuck Grassley,John Kennedy,1
2310,Jeff Mateer,John Kennedy,1
2311,Brett Talley,John Kennedy,1
2312,John Kennedy,Talley,1
2313,John Kennedy,Neil Gorsuch,1
2314,Kennedy,Trump,6
2315,Kennedy,Petersen,3
2316,Chuck Grassley,Kennedy,1
2317,Jeff Mateer,Kennedy,1
2318,Brett Talley,Kennedy,1
2319,Kennedy,Talley,1
2320,Kennedy,Neil Gorsuch,3
2321,Petersen,Trump,6
2322,Chuck Grassley,Trump,14
2323,Jeff Mateer,Trump,2
2324,Brett Talley,Trump,2
2325,Talley,Trump,2
2326,Petersen,Petersen,3
2327,Chuck Grassley,Petersen,3
2328,Jeff Mateer,Petersen,3
2329,Brett Talley,Petersen,3
2330,Petersen,Talley,3
2331,Neil Gorsuch,Petersen,3
2332,Chuck Grassley,Jeff Mateer,3
2333,Brett Talley,Chuck Grassley,3
2334,Chuck Grassley,Talley,2
2335,Chuck Grassley,Neil Gorsuch,3
2336,Brett Talley,Jeff Mateer,3
2337,Jeff Mateer,Talley,2
2338,Jeff Mateer,Neil Gorsuch,3
2339,Brett Talley,Talley,2
2340,Brett Talley,Neil Gorsuch,3
2341,Neil Gorsuch,Talley,2
2342,Donald Trump,Marco Rubio,10
2343,Bernie Sanders,Donald Trump,9
2344,Donald Trump,Kevin McCarthy,4
2345,Corker,Donald Trump,25
2346,Bob Corker,Marco Rubio,4
2347,Marco Rubio,Susan Collins,4
2348,Jeff Flake,Marco Rubio,3
2349,Marco Rubio,Mike Lee,6
